assisted_bathing,When one character is [[bathing]] another.
fingerless_gloves_(marking),"Hybrid tag for [[fingerless_(marking)]] and [[gloves_(marking)]].

h4. See also

* [b][[Markings]][/b]
* [b]Marking patterns (Common)[/b]
** [[gloves_(marking)]]
** [[socks_(marking)]]
** [[fingerless_(marking)]]
** [[toeless_(marking)]]
** [[mask_(marking)]]
** [[muzzle_(marking)]]
** [[heart_(marking)]]
* [b]Marking placements[/b]
** [[arm_markings]]
*** [[hand_markings]]"
saul_ashle,"A {{male}} {{salazzle}} owned by ""GyroTech"":/users/187594
Raised from birth by a pokemon trainer, he was not malnourished by the females as most of his wild brothers are, and so evolved into a salazzle. As a male salazzle, he retains his orange coloration, and the mask of salandits.

For more information see: https://gyro.tech/saulashle

Due to e621 TWYS guidelines, he should be tagged {{salazzle}} {{salandit}} {{hybrid}}

thumb #2998653 thumb #3008991 thumb #3021797 thumb #1118803 "
booba_(series),"[b]Booba[/b] is a 3D animated series for children created by the studio ""3D Sparrow"":https://www.3dsparrow.com. It features the main character who explores various worlds and embarks on thrilling adventures with a host of friends."
static,"crackling or hissing noises on a telecommunications system.
Usually caused by bad signals."
beverage,"thumb #702920 thumb #701921 thumb #689512

A fluid that is designed to be consumed or drunk. May or may not be held in a [[cup]], [[bottle]], or mug by a character.

h4. See also:
* beverage
** [[alcohol]]
*** [[beer]]
*** [[champagne]]
*** [[rum]]
*** [[sake]]
*** [[whiskey]]
*** [[wine]]
*** [[vodka]]
** [[apple_juice]]
** [[bubble_tea]]
** [[carrot_juice]]
** [[coconut_drink]]
** [[coffee]]
** [[energy_drink]]
** [[grape_juice]]
** [[hot_chocolate]]
** [[lemon_juice]]
** [[lemonade]]
*** [[pink_lemonade]]
** [[milk]]
*** [[chocolate_milk]]
*** [[strawberry_milk]]
** [[orange_juice]]
** [[raspberry_juice]]
** [[smoothie]]
** [[soda]]
*** [[cola]]
*** [[grape_soda]]
*** [[orange_soda]]
*** [[root_beer]]
**** [[sarsaparilla]]
** [[tea]]
** [[tomato_juice]]
** [[water]] (if clearly shown in a potable form, such as bottled water)"
komi_(overgrown_lizards),"Komi is a [[female]] [[luxray]] character owned by Overgrown_Lizards https://www.furaffinity.net/user/overgrownlizards/

""Other characters from Overgrown_Lizards can be found here."":/tags?search%5Bname_matches%5D=*_%28overgrown_lizards%29"
fire_peashooter,Fire Peashooter is a female fire Peashooter that is in the game plants vs zombies 2 it's about time 
sar'_don,"Sar’ Don Shevi Palk

Gender:  Male

Birthday:  3/17/2991

Age:  66 (~ 28)

Placement:  Security Director

Rank:  1st Lieutenant

Bio:  Don is downright obsessive about his position as the station’s security director.  He sees danger lurking around every corner, and though he has a small staff to help him, he often over-works himself trying to identify and neutralize potential threats.  It’s not unusual for him to work for days without rest, which only makes him more demanding and on-edge.  To put it nicely, he’s not the most popular person on the station.  Because he overreacts to things so spectacularly, it’s become somewhat of a sport among the station’s troublemakers to try to set him off.  He has also rung up an impressive number of nicknames (all courtesy of Tattle), the current favorites being S.D., Security Don, Shevi, Donni-boy, and “the wettest of blankets.”  Don does not approve of any of these.

Source: www.kahmith.com/cast"
glucose_monitor,"Glucose monitors, specifically Continuous Glucose Monitors (CGM) are devices to used to help manage Type 1 or Type 2 diabetes with fewer fingerstick tests. It is a small sensor device often located on the back of the upper arm, the device reads a sensor just under the skin measures glucose levels.

"
carrottia_(sonic),"thumb #3728992

[i][b]Carrottia[/b][/i] is a character from the [[sonic_the_hedgehog_(series)|Sonic the Hedgehog]] franchise. She is a White Rabbit with Tan skin and a pink nose. For attire, she wears a large Pink Bow on her head, a sleeveless, black tube top with light-blue trim, a green skirt, white gloves, and pink Mary Janes with white socks.

Only appearing in [i][[Tails' Sky Patrol]][/i] as a villain for [b][i][[miles_prower|Miles ""Tails"" Prower]][/i][/b] at first, she later made a comeback on [[idw_publishing|IDW Publishing's]] [i]""Sonic the Hedgehog: Tails' 30th Anniversary Special""[/i], with a overall redesign.

She is not to be confused with ""[[carrotia_the_rabbit_(archie_sonic)|Carrotia the Rabbit]]"" (with one less ""T"" in her name) from the [[sonic_the_hedgehog_(archie)|Sonic the Hedgehog Archie Comics]]. Tough they are technically the same character, they are quite different design/personality wise."
junip,"A male sandcat character, belonging to artist whose FA username was ""Ataraxia"":https://www.furaffinity.net/user/aixarata/ , but they moved to FA username [[Glopossum]] starting in 2017."
hazelrah0,"Hey~ Hello new digital artist, looking foward to make friends, watch amazing artwork and post my work as I improve myself Cheers~"
telechat,"The series, aimed at children, parodies the television news program for adults with the concept of ""object television"". Sprinkled with reports and interviews dedicated to the objects, the Téléchat newspaper invariably begins with the sequence of the ""celebrated object"" of the day, the presenters wishing a ""happy birthday"" to the object in question.

The diary is featured by two anthropomorphic animal puppets: a cat named Groucha (who has one arm in a cast) and an ostrich named Lola. Other characters regularly intervene such as Mic-Mac, Groucha's microphone, but also other objects present on the set. In addition, Gluons (microscopic beings that live in various objects), are interviewed and talk about their lives in the sequence ""Objects in the air.""

During the newspaper advertising pages are spread, the opportunity to see the Monkey Pub-Pub present “Null” products, but always in a catastrophic way. It also presents the adventures of the vigilante Léguman, a man disguised with a pumpkin head who fights against the bad guys.

After the end credits, a sequence shows Groucha and Lola arguing in an unprofessional context after work, often in the cafe (the Milk Bar), as if to remind people that the characters' experiences are not limited to your profession.

In the second season, Groucha is replaced by another presenter, the GTI rabbit (for ""Grégoire de la Tour d'Ivoire""). GTI is related to a person in charge of the channel and wants to rejuvenate the antenna. This character symbolizes the economic pressures exerted on journalists; As a result of his flagrant professional misconduct, he was fired, in particular for having ""destroyed the advertisement"".

The tone of the program, by way of humor, is quite critical and speaks of television, advertising, audience races or ""airdrops""."
thick_lips,"This tag is used when a character's lips are very pronounced.

Examples:

thumb #702172 thumb #699447 thumb #692647"
maccy_(character),"Taillove’s character
 
Big butt big attitude loyal mascot "
shower_sex,It's people having sex in the shower
azeezveesk,"[b]Domainss[/b]
Twitter [1]
[b]URLs[/b]
https://twitter.com/AzeezVeesk"
cadence_bonaventura,"[color=character][b]Cadence ""Cady"" Bonaventura[/b][/color] is a [[female]] [[domestic cat]] [color=character]character[/color] owned by the [color=artist]artist[/color] [[Chokovit (artist)|Chokovit]]. "
taigaxholic,"An English speaking [[otoko no ko|femboy]] indie [[virtual youtuber]]. Has different forms: [[angel]], tiger boy, and a dog boy furry."
black_thigh_highs,"Self-explanatory, for when a character is wearing thigh highs in the color black.

h4. Colors:
* [[green_thigh_highs]]
* [[yellow_thigh_highs]]
* [[grey_thigh_highs]]
* [[tan_thigh_highs]]
* [[brown_thigh_highs]]
* [[white_thigh_highs]]
* [[blue_thigh_highs]]
* [[orange_thigh_highs]]
* [[red_thigh_highs]]
* [[pink_thigh_highs]]
* [[purple_thigh_highs]]
* [[rainbow_thigh_highs]]

h4. Patterns / Designs
* [[striped_thigh_highs]]
* [[pattern_thigh_highs]]

h4. See also:
* [[thigh_highs]]"
teal_bottomwear,"Any article of [[bottomwear]] ([[pants]], [[shorts]], [[skirt]], etc.) that is teal in color.

thumb #1103347

h4. Categories

* [[teal_hakama]]
* [[teal_loincloth]]
* [[teal_kilt]]
* [[teal_pants]]
* [[teal_sarong]]
* [[teal_shorts]]
* [[teal_skirt]]

h4. Bottomwear colors

* [[black_bottomwear]]
* [[blue_bottomwear]]
* [[brown_bottomwear]]
* [[green_bottomwear]]
* [[grey_bottomwear]]
* [[orange_bottomwear]]
* [[pink_bottomwear]]
* [[purple_bottomwear]]
* [[red_bottomwear]]
* [[tan_bottomwear]]
* [b]teal_bottomwear[/b]
* [[white_bottomwear]]
* [[yellow_bottomwear]]

* [[rainbow_bottomwear]]

h5. Color attributes

* [[translucent_bottomwear]]

h5. Color counts

* [[monotone_bottomwear]]
* [[multicolored_bottomwear]]
** [[two_tone_bottomwear]]
** [[multi_tone_bottomwear]]"
gimp_suit,"A gimp suit, a.k.a. a bondage suit, is a garment designed to cover the body completely (usually including the hands and feet), fitting it closely, and often including anchor points for bondage. It often has an attached hood; if it does not, it often is worn with a [[gimp_mask]]. The suit may be made from any material

Not to Be Confused With a [[Bitchsuit]] which is designed to also fold the wearer's limbs to force them to walk on their elbows and knees.

h4. See also
* [[tag_group:bondage]]"
wolfblazex,"Really likes M.Bison fursona, I mean Shvein Hax from Fuga: Melodies of Steel."
ran'ou_(tamago_no_kimi),"Artist, illustrator.

His nickname came from 卵黄 (ran'ou, lit.""yolk"").
卵の黄身 (Tamago no Kimi, lit.""the yellow of an egg"") was originally used as a qualifier of his nickname. However, he also uses it as his username.

Japanese name: らんおう [Ran'ou] or らんおう＠卵の黄身 [Ran'ou (Tamago no Kimi)]
Circle name: 発酵戦隊
Site name: EGG BREAKER"
